레시피명,전처리된 식재료
바나나크림파스타,아보카도 우유 소금 바나나 양파 베이컨 토마토 치즈 스파게티면 마늘
산채쌀파스타,취나물 파스타면 양파 들기름 오이 고추 된장 청국장 쌀 참나물 깻잎 겨자 마늘 두부
황태포당면국수,당근 팽이버섯 간장 소금 양파 감자 달걀 대파 청양고추 마늘 쑥갓 멸치 당면 황태
닭갈비볶음면,쪽파 카레 양파 라면 방울토마토 닭 파프리카 깻잎 참기름 마늘 대파 고추장 고춧가루
오색볶음면,쪽파 두반장 돼지고기 가지 양파 라면 고추기름 설탕 파프리카 청경채 마늘 스프
로제소스라면,홍합 우유 새우 조개 양파 치즈 토마토 월계수 파슬리
라면월남쌈튀김,배 빵가루 쇠고기 파 물 매실 파프리카 쌀 간장 양파 어린잎채소 파인애플 달걀 마늘
삼겹살라면,쪽파 간장 돼지고기 생강 대파 삼겹살
유자샐러드라면,식초 파프리카 유자 드레싱 케일
주꾸미머리순대,양파 당근 계란 생강 마늘 고추장 미나리 주꾸미
매실동치미,소금 배 연근 매실 사과 생강 청양고추
조기까스,조기 양파 후추 전분 오일 버터 마늘 고추장 간장
돼지머리수육맑은전골,미나리 대파 청주 고추 돼지 된장 마늘 청양고추 간장
파인애플볶음밥,소금 새우 통조림 양파 후추 식용유 레몬 계란 파프리카 밥 파인애플 고추 마늘 간장
연근초무침,강황 식초 양파 설탕 연근 잣 밤 오이
코다리맑은찜,소금 후추 청주 생강 콩나물 마늘 겨자 미나리
뿌리채소두부선,식초 전분 마요네즈 계란 고추 된장 우엉 식용유 인삼 두부 땅콩 참깨 들기름 감자 후추 마늘
사과장아찌,식초 양파 설탕 청주 매실 생강 고추 간장
해물들깨탕,새우 양파 청주 계란 고추 들깨 마늘 대파 전복 주꾸미 간장
참외깍두기,통깨 양파 참외 생강 고추 마늘 대파 미나리 고춧가루 간장
새콤한연어샐러드,소금 양파 토마토 파프리카 연어 정종
논우렁순무섞박지,요구르트 양파 생강 고추 마늘 대파 미나리 고춧가루 간장 플레인요거트
코다리맑은탕,양파 후추 참기름 감자 마늘 청양고추 미나리 간장
세가지샐러드,식초 바나나 설탕 토마토 잣 파프리카 닭고기
애호박들깨볶음,소금 새우 양파 들기름 고추 들깨 마늘 대파
고구마바나나샐러드,연유 잣 바나나 고구마
누룽지새우튀김,오렌지 식초 소금 새우 설탕 식용유 튀김 누룽지 달걀 주스
백김치주꾸미샐러드,식초 샐러드 백김치 양파 파 설탕 레몬 고추 드레싱 마늘 주꾸미 간장
닭고기월남쌈,식초 소금 로즈마리 양파 설탕 당근 오이 파프리카 닭고기 식용유 쌀 마늘 고춧가루
양배추롤,양파 설탕 당근 머스터드 천일염 파프리카 깻잎 닭고기 식용유 정종 양배추 부추
단호박소고기롤,식초 소금 소고기 양파 팽이버섯 설탕 사과 파프리카 오이 마늘 밀가루 간장
생선카레튀김,생선 카레 식초 요구르트 마요네즈 설탕 콩가루 생강 튀김 깻잎 달걀 정종 밀가루
삼겹가지볶음,통깨 가지 양파 설탕 잣 생강 참기름 깻잎 마늘 식용유 정종 대파 고춧가루 간장 느타리버섯 삼겹살
주꾸미샐러드,식초 소금 피망 설탕 배 고추 마늘 밀가루 주꾸미 미나리
닭가슴살현미스테이크,카레 현미 식용유 닭 튀김 쌀 정종 양배추
삼겹선,식초 소금 양파 파 설탕 당근 레몬 표고버섯 파프리카 깻잎 쌀 정종 고춧가루 삼겹살
미니버섯탕수,녹말 계란 소금 설탕 당근 물 식용유 버섯 튀김 오이 파프리카 달걀 간장
연어오븐구이,소금 피망 양파 당근 토마토 레몬 파프리카 버터 연어 마늘 크림
옥음밥,양파 옥수수 당근 옥수수 쌀 마늘 식용유 쌀 간장
와사비 연어초밥,식초 소금 설탕 당근 표고버섯 쌀 연어 겨자 새싹 파슬리
원소병,녹말 오미자 잣 대추
음메꼬꼬돌돌,식초 소고기 소금 설탕 고추 닭고기 달걀 미나리 간장
전복리조또,우유 소금 양파 당근 버터 쌀 전복
참깨흑임 자연두부샐러드,우유 식초 설탕 마요네즈 파프리카 날치 참깨
